entry_time,exit_time,direction,entry,exit,result,pnl,capital,year
2024-03-28 12:55:00+00:00,2024-03-28 13:15:00+00:00,long,70839.16,70656.0,SL,-0.6143,60.8134,2024
2024-03-28 14:25:00+00:00,2024-03-28 14:30:00+00:00,long,71042.0,71370.01,TP,1.2163,62.0297,2024
2024-03-28 17:35:00+00:00,2024-03-28 18:45:00+00:00,long,70758.99,70514.01,SL,-0.6203,61.4094,2024
2024-03-28 19:15:00+00:00,2024-03-28 22:05:00+00:00,long,70758.61,70606.0,SL,-0.6141,60.7953,2024
2024-03-28 22:30:00+00:00,2024-03-29 00:30:00+00:00,long,70832.41,70686.8,SL,-0.608,60.1873,2024
2024-03-29 01:10:00+00:00,2024-03-29 02:25:00+00:00,long,70817.77,70661.1,SL,-0.6019,59.5855,2024
2024-03-29 05:20:00+00:00,2024-03-29 06:30:00+00:00,short,70222.01,70433.99,SL,-0.5959,58.9896,2024
2024-03-29 07:20:00+00:00,2024-03-29 07:35:00+00:00,short,70276.0,69932.0,TP,1.1798,60.1694,2024
2024-03-29 09:30:00+00:00,2024-03-29 10:10:00+00:00,short,69689.24,69882.32,SL,-0.6017,59.5677,2024
2024-03-29 12:05:00+00:00,2024-03-29 12:30:00+00:00,short,70008.0,70163.46,SL,-0.5957,58.972,2024
2024-03-29 20:45:00+00:00,2024-03-29 22:30:00+00:00,short,69576.01,69763.02,SL,-0.5897,58.3823,2024
2024-03-30 00:55:00+00:00,2024-03-30 03:50:00+00:00,long,69932.9,69763.53,SL,-0.5838,57.7985,2024
2024-03-30 04:25:00+00:00,2024-03-30 05:00:00+00:00,long,69855.65,70245.99,TP,1.156,58.9544,2024
2024-03-30 08:20:00+00:00,2024-03-30 13:05:00+00:00,long,69955.99,70241.59,TP,1.1791,60.1335,2024
2024-03-30 16:25:00+00:00,2024-03-30 19:00:00+00:00,long,70010.36,69826.65,SL,-0.6013,59.5322,2024
2024-03-30 21:05:00+00:00,2024-03-31 00:30:00+00:00,short,69764.72,69910.16,SL,-0.5953,58.9369,2024
2024-03-31 02:15:00+00:00,2024-03-31 03:05:00+00:00,long,70079.47,69927.0,SL,-0.5894,58.3475,2024
2024-03-31 04:25:00+00:00,2024-03-31 05:45:00+00:00,long,69967.99,70443.47,TP,1.1669,59.5145,2024
2024-03-31 08:00:00+00:00,2024-03-31 13:10:00+00:00,long,70322.03,70682.92,TP,1.1903,60.7048,2024
2024-03-31 16:05:00+00:00,2024-03-31 18:35:00+00:00,long,70514.11,70969.0,TP,1.2141,61.9188,2024
2024-03-31 22:00:00+00:00,2024-03-31 23:35:00+00:00,long,71008.16,71319.62,TP,1.2384,63.1572,2024
2024-04-01 02:40:00+00:00,2024-04-01 03:10:00+00:00,long,70849.98,70705.89,SL,-0.6316,62.5257,2024
2024-04-01 04:20:00+00:00,2024-04-01 05:35:00+00:00,short,70533.0,70218.0,TP,1.2505,63.7762,2024
2024-04-01 08:20:00+00:00,2024-04-01 08:40:00+00:00,short,69348.01,69519.79,SL,-0.6378,63.1384,2024
2024-04-01 10:20:00+00:00,2024-04-01 10:45:00+00:00,short,69341.9,69547.05,SL,-0.6314,62.507,2024
2024-04-01 11:35:00+00:00,2024-04-01 12:15:00+00:00,short,69470.0,69700.62,SL,-0.6251,61.8819,2024
2024-04-01 13:20:00+00:00,2024-04-01 13:25:00+00:00,short,69721.99,70015.99,SL,-0.6188,61.2631,2024
2024-04-01 13:55:00+00:00,2024-04-01 14:20:00+00:00,short,69880.0,69559.99,TP,1.2253,62.4884,2024
2024-04-01 20:20:00+00:00,2024-04-01 20:35:00+00:00,short,69350.01,69550.58,SL,-0.6249,61.8635,2024
2024-04-02 02:05:00+00:00,2024-04-02 02:25:00+00:00,short,69220.0,68447.76,TP,1.2373,63.1008,2024
2024-04-02 07:15:00+00:00,2024-04-02 07:45:00+00:00,short,66822.66,66551.98,TP,1.262,64.3628,2024
2024-04-02 08:50:00+00:00,2024-04-02 09:00:00+00:00,short,66265.05,65815.03,TP,1.2873,65.65,2024
2024-04-02 09:30:00+00:00,2024-04-02 09:45:00+00:00,short,66049.57,66264.0,SL,-0.6565,64.9935,2024
2024-04-02 10:00:00+00:00,2024-04-02 10:15:00+00:00,short,65992.67,66189.76,SL,-0.6499,64.3436,2024
2024-04-02 10:45:00+00:00,2024-04-02 10:55:00+00:00,short,65724.3,65984.0,SL,-0.6434,63.7002,2024
2024-04-02 12:50:00+00:00,2024-04-02 13:20:00+00:00,short,65275.99,64905.92,TP,1.274,64.9742,2024
2024-04-02 15:30:00+00:00,2024-04-02 15:35:00+00:00,short,65676.0,65336.02,TP,1.2995,66.2737,2024
2024-04-02 16:40:00+00:00,2024-04-02 16:45:00+00:00,short,65183.99,65640.01,SL,-0.6627,65.6109,2024
2024-04-02 17:45:00+00:00,2024-04-02 17:55:00+00:00,short,65340.0,65608.01,SL,-0.6561,64.9548,2024
2024-04-02 19:55:00+00:00,2024-04-02 20:10:00+00:00,short,65914.9,66093.04,SL,-0.6495,64.3053,2024
2024-04-02 23:20:00+00:00,2024-04-03 00:10:00+00:00,short,65639.99,65343.99,TP,1.2861,65.5914,2024
2024-04-03 03:00:00+00:00,2024-04-03 03:15:00+00:00,short,65792.69,66016.4,SL,-0.6559,64.9355,2024
2024-04-03 03:20:00+00:00,2024-04-03 03:40:00+00:00,short,65874.18,66060.1,SL,-0.6494,64.2861,2024
2024-04-03 06:20:00+00:00,2024-04-03 07:00:00+00:00,long,66316.14,66172.5,SL,-0.6429,63.6432,2024
2024-04-03 07:10:00+00:00,2024-04-03 07:25:00+00:00,long,66432.01,66285.78,SL,-0.6364,63.0068,2024
2024-04-03 08:35:00+00:00,2024-04-03 10:05:00+00:00,long,66527.48,66365.26,SL,-0.6301,62.3767,2024
2024-04-03 12:35:00+00:00,2024-04-03 13:05:00+00:00,short,65819.41,65982.88,SL,-0.6238,61.753,2024
2024-04-03 13:20:00+00:00,2024-04-03 13:30:00+00:00,short,65671.95,65876.92,SL,-0.6175,61.1355,2024
2024-04-03 16:20:00+00:00,2024-04-03 17:25:00+00:00,long,66244.56,66068.0,SL,-0.6114,60.5241,2024
2024-04-03 20:00:00+00:00,2024-04-03 21:30:00+00:00,short,65696.01,65831.79,SL,-0.6052,59.9189,2024
2024-04-04 00:40:00+00:00,2024-04-04 01:35:00+00:00,long,66256.0,66082.99,SL,-0.5992,59.3197,2024
2024-04-04 04:10:00+00:00,2024-04-04 04:20:00+00:00,short,65475.25,65139.97,TP,1.1864,60.5061,2024
2024-04-04 10:25:00+00:00,2024-04-04 11:10:00+00:00,long,66364.14,66142.47,SL,-0.6051,59.901,2024
2024-04-04 11:40:00+00:00,2024-04-04 12:40:00+00:00,long,66411.8,66721.74,TP,1.198,61.099,2024
2024-04-04 14:05:00+00:00,2024-04-04 14:40:00+00:00,long,67592.0,67892.0,TP,1.222,62.321,2024
2024-04-04 16:20:00+00:00,2024-04-04 16:35:00+00:00,long,68023.44,67857.16,SL,-0.6232,61.6978,2024
2024-04-04 17:35:00+00:00,2024-04-04 17:50:00+00:00,long,68123.53,68766.24,TP,1.234,62.9317,2024
2024-04-04 21:00:00+00:00,2024-04-04 21:05:00+00:00,long,68114.16,67916.0,SL,-0.6293,62.3024,2024
2024-04-04 21:50:00+00:00,2024-04-04 22:00:00+00:00,long,67866.65,67730.57,SL,-0.623,61.6794,2024
2024-04-05 00:55:00+00:00,2024-04-05 01:10:00+00:00,long,68606.0,68448.01,SL,-0.6168,61.0626,2024
2024-04-05 03:10:00+00:00,2024-04-05 04:30:00+00:00,long,67853.89,67708.71,SL,-0.6106,60.452,2024
2024-04-05 04:35:00+00:00,2024-04-05 05:15:00+00:00,short,67678.0,66851.58,TP,1.209,61.661,2024
