strategy,entry_time,exit_time,direction,entry,exit,result,pnl,capital,month
v1 Original,2026-04-16 05:20:00+00:00,2026-04-16 07:30:00+00:00,long,75073.11,74908.01,SL,-1.8929,187.399,2026-04
v1 Original,2026-04-16 09:50:00+00:00,2026-04-16 10:45:00+00:00,short,74662.93,74290.79,TP,3.748,191.1469,2026-04
v1 Original,2026-04-16 12:55:00+00:00,2026-04-16 13:10:00+00:00,short,74632.87,74836.89,SL,-1.9115,189.2355,2026-04
v1 Original,2026-04-16 13:40:00+00:00,2026-04-16 13:50:00+00:00,short,74619.17,73428.18,TP,3.7847,193.0202,2026-04
v1 Original,2026-04-16 16:30:00+00:00,2026-04-16 17:10:00+00:00,short,74327.8,73968.84,TP,3.8604,196.8806,2026-04
v1 Original,2026-04-16 23:05:00+00:00,2026-04-17 01:20:00+00:00,long,75006.64,74708.79,SL,-1.9688,194.9118,2026-04
v1 Original,2026-04-17 05:05:00+00:00,2026-04-17 06:15:00+00:00,short,74627.99,74815.8,SL,-1.9491,192.9627,2026-04
v1 Original,2026-04-17 07:50:00+00:00,2026-04-17 08:30:00+00:00,long,75060.87,75378.75,TP,3.8593,196.8219,2026-04
v1 Original,2026-04-17 11:30:00+00:00,2026-04-17 11:40:00+00:00,long,75587.26,75413.31,SL,-1.9682,194.8537,2026-04
v1 Original,2026-04-17 18:40:00+00:00,2026-04-17 18:50:00+00:00,long,77420.38,77225.9,SL,-1.9485,192.9052,2026-04
v1 Original,2026-04-17 19:10:00+00:00,2026-04-17 20:00:00+00:00,long,77264.99,77612.0,TP,3.8581,196.7633,2026-04
v1 Original,2026-04-17 21:10:00+00:00,2026-04-17 23:05:00+00:00,long,77419.99,77242.49,SL,-1.9676,194.7956,2026-04
v1 Original,2026-04-18 00:00:00+00:00,2026-04-18 00:40:00+00:00,long,77204.06,77047.5,SL,-1.948,192.8477,2026-04
v1 Original,2026-04-18 02:10:00+00:00,2026-04-18 03:50:00+00:00,long,77321.02,77043.51,SL,-1.9285,190.9192,2026-04
v1 Original,2026-04-18 04:50:00+00:00,2026-04-18 08:10:00+00:00,long,77124.66,76834.0,SL,-1.9092,189.01,2026-04
v1 Original,2026-04-18 10:05:00+00:00,2026-04-18 11:10:00+00:00,short,76286.3,75980.97,TP,3.7802,192.7902,2026-04
v1 Original,2026-04-18 11:35:00+00:00,2026-04-18 11:55:00+00:00,short,75866.38,76069.46,SL,-1.9279,190.8623,2026-04
v1 Original,2026-04-18 13:30:00+00:00,2026-04-18 14:10:00+00:00,short,76034.08,76200.1,SL,-1.9086,188.9537,2026-04
v1 Original,2026-04-18 15:35:00+00:00,2026-04-18 17:05:00+00:00,short,76213.03,75907.41,TP,3.7791,192.7328,2026-04
v1 Original,2026-04-18 18:00:00+00:00,2026-04-19 03:05:00+00:00,short,75789.97,75462.5,TP,3.8547,196.5874,2026-04
v1 Original,2026-04-19 04:40:00+00:00,2026-04-19 07:15:00+00:00,short,75570.52,75159.16,TP,3.9317,200.5192,2026-04
v1 Original,2026-04-19 09:20:00+00:00,2026-04-19 10:55:00+00:00,short,75084.59,75246.09,SL,-2.0052,198.514,2026-04
v1 Original,2026-04-19 12:25:00+00:00,2026-04-19 13:00:00+00:00,short,75546.49,75718.72,SL,-1.9851,196.5288,2026-04
v1 Original,2026-04-19 13:05:00+00:00,2026-04-19 14:45:00+00:00,long,75804.0,76131.1,TP,3.9306,200.4594,2026-04
v1 Original,2026-04-19 20:15:00+00:00,2026-04-19 20:30:00+00:00,short,74711.98,74900.47,SL,-2.0046,198.4548,2026-04
v1 Original,2026-04-19 20:40:00+00:00,2026-04-19 20:50:00+00:00,short,74580.0,74729.25,SL,-1.9845,196.4703,2026-04
v1 Original,2026-04-19 21:50:00+00:00,2026-04-19 22:00:00+00:00,short,74461.2,73906.91,TP,3.9294,200.3997,2026-04
v1 Original,2026-04-20 02:10:00+00:00,2026-04-20 03:40:00+00:00,short,74425.34,74610.14,SL,-2.004,198.3957,2026-04
v1 Original,2026-04-20 04:10:00+00:00,2026-04-20 05:20:00+00:00,short,74539.47,74181.04,TP,3.9679,202.3636,2026-04
v1 Original,2026-04-20 09:10:00+00:00,2026-04-20 10:10:00+00:00,long,75058.43,75373.39,TP,4.0473,206.4109,2026-04
v1 Original,2026-04-20 12:10:00+00:00,2026-04-20 13:15:00+00:00,long,75382.94,75154.55,SL,-2.0641,204.3468,2026-04
v1 Original,2026-04-20 14:15:00+00:00,2026-04-20 14:50:00+00:00,long,75334.61,75061.8,SL,-2.0435,202.3033,2026-04
