strategy,entry_time,exit_time,direction,entry,exit,result,risk_used,pnl,capital,streak
U2. Momentum Score,2026-03-26 13:30:00+00:00,2026-03-26 13:35:00+00:00,short,69278.35,69354.88,SL ❌,0.4457,-0.4457,88.6946,-7
U2. Momentum Score,2026-03-26 14:45:00+00:00,2026-03-26 15:10:00+00:00,short,69441.44,69105.02,TP ✅,0.4435,1.1087,89.8033,1
U2. Momentum Score,2026-03-26 17:45:00+00:00,2026-03-26 17:55:00+00:00,short,68787.43,68448.48,TP ✅,0.898,2.2451,92.0484,2
U2. Momentum Score,2026-03-26 19:30:00+00:00,2026-03-26 19:35:00+00:00,short,68331.02,68539.85,SL ❌,1.3807,-1.3807,90.6676,-1
U2. Momentum Score,2026-03-27 09:55:00+00:00,2026-03-27 10:35:00+00:00,short,67670.02,67025.74,TP ✅,0.9067,2.2667,92.9343,1
U2. Momentum Score,2026-03-27 12:15:00+00:00,2026-03-27 13:30:00+00:00,short,66626.0,66415.66,TP ✅,0.9293,2.3234,95.2577,2
U2. Momentum Score,2026-03-27 16:00:00+00:00,2026-03-27 16:45:00+00:00,short,66003.92,65995.55,BE 〰,1.4289,0.0,95.2577,2
U2. Momentum Score,2026-03-27 17:25:00+00:00,2026-03-27 17:45:00+00:00,short,65862.75,65585.16,TP ✅,1.4289,3.5722,98.8298,3
U2. Momentum Score,2026-03-27 19:05:00+00:00,2026-03-27 19:15:00+00:00,short,65668.41,65842.4,SL ❌,1.9766,-1.9766,96.8532,-1
U2. Momentum Score,2026-03-27 20:25:00+00:00,2026-03-27 20:45:00+00:00,short,65824.49,65945.45,SL ❌,0.9685,-0.9685,95.8847,-2
U2. Momentum Score,2026-03-28 10:20:00+00:00,2026-03-28 10:25:00+00:00,short,66208.92,66125.45,TP ✅,0.4794,1.1986,97.0833,1
U2. Momentum Score,2026-03-28 11:40:00+00:00,2026-03-28 12:10:00+00:00,long,66284.59,66355.3,TP ✅,0.9708,2.4271,99.5104,2
U2. Momentum Score,2026-03-28 15:30:00+00:00,2026-03-28 15:50:00+00:00,long,67024.87,66941.19,SL ❌,1.4927,-1.4927,98.0177,-1
U2. Momentum Score,2026-03-28 18:05:00+00:00,2026-03-28 18:35:00+00:00,long,66866.13,66808.03,SL ❌,0.9802,-0.9802,97.0375,-2
U2. Momentum Score,2026-03-28 18:40:00+00:00,2026-03-28 19:10:00+00:00,long,66882.3,66789.86,SL ❌,0.4852,-0.4852,96.5523,-3
U2. Momentum Score,2026-03-28 20:00:00+00:00,2026-03-28 20:20:00+00:00,long,66950.6,66897.66,SL ❌,0.4828,-0.4828,96.0696,-4
U2. Momentum Score,2026-03-29 08:25:00+00:00,2026-03-29 08:30:00+00:00,short,66619.05,66660.59,SL ❌,0.4803,-0.4803,95.5892,-5
U2. Momentum Score,2026-03-29 09:20:00+00:00,2026-03-29 09:35:00+00:00,short,66604.62,66525.49,TP ✅,0.4779,1.1949,96.7841,1
U2. Momentum Score,2026-03-29 11:05:00+00:00,2026-03-29 11:35:00+00:00,long,66703.12,66848.8,TP ✅,0.9678,2.4196,99.2037,2
U2. Momentum Score,2026-03-29 12:25:00+00:00,2026-03-29 12:30:00+00:00,long,66732.72,66685.73,SL ❌,1.4881,-1.4881,97.7156,-1
U2. Momentum Score,2026-03-29 12:50:00+00:00,2026-03-29 13:05:00+00:00,long,66806.3,66537.98,SL ❌,0.9772,-0.9772,96.7385,-2
U2. Momentum Score,2026-03-29 15:10:00+00:00,2026-03-29 15:15:00+00:00,short,66472.85,66563.8,SL ❌,0.4837,-0.4837,96.2548,-3
U2. Momentum Score,2026-03-29 15:20:00+00:00,2026-03-29 15:50:00+00:00,short,66465.53,66467.06,BE 〰,0.4813,0.0,96.2548,0
U2. Momentum Score,2026-03-29 16:50:00+00:00,2026-03-29 17:15:00+00:00,short,66453.56,66335.09,TP ✅,0.9625,2.4064,98.6612,1
U2. Momentum Score,2026-03-29 18:20:00+00:00,2026-03-29 18:35:00+00:00,short,66322.84,66386.01,SL ❌,0.9866,-0.9866,97.6746,-1
U2. Momentum Score,2026-03-29 19:40:00+00:00,2026-03-29 20:00:00+00:00,short,66329.88,66378.63,SL ❌,0.9767,-0.9767,96.6978,-2
U2. Momentum Score,2026-03-30 11:00:00+00:00,2026-03-30 11:20:00+00:00,long,67477.57,67571.97,TP ✅,0.4835,1.2087,97.9065,1
U2. Momentum Score,2026-03-30 15:00:00+00:00,2026-03-30 15:05:00+00:00,long,67743.82,67562.48,SL ❌,0.9791,-0.9791,96.9275,-1
U2. Momentum Score,2026-03-30 15:35:00+00:00,2026-03-30 15:55:00+00:00,long,67765.12,67578.47,SL ❌,0.9693,-0.9693,95.9582,-2
U2. Momentum Score,2026-03-31 08:25:00+00:00,2026-03-31 08:30:00+00:00,short,67263.38,67108.41,TP ✅,0.4798,1.1995,97.1577,1
U2. Momentum Score,2026-03-31 14:50:00+00:00,2026-03-31 15:05:00+00:00,short,66570.59,66908.8,SL ❌,0.9716,-0.9716,96.1861,-1
U2. Momentum Score,2026-03-31 15:25:00+00:00,2026-03-31 16:05:00+00:00,short,66928.89,66928.25,BE 〰,0.9619,0.0,96.1861,0
U2. Momentum Score,2026-03-31 16:10:00+00:00,2026-03-31 16:15:00+00:00,short,66812.27,66971.54,SL ❌,0.9619,-0.9619,95.2242,-1
U2. Momentum Score,2026-03-31 18:15:00+00:00,2026-03-31 18:30:00+00:00,long,67832.84,67676.23,SL ❌,0.9522,-0.9522,94.272,-2
U2. Momentum Score,2026-03-31 19:45:00+00:00,2026-03-31 19:50:00+00:00,long,67901.22,67812.24,SL ❌,0.4714,-0.4714,93.8006,-3
U2. Momentum Score,2026-03-31 20:00:00+00:00,2026-03-31 20:10:00+00:00,long,67820.97,68111.42,TP ✅,0.469,1.1725,94.9731,1
U2. Momentum Score,2026-04-01 09:20:00+00:00,2026-04-01 09:25:00+00:00,short,68368.17,68508.27,SL ❌,0.9497,-0.9497,94.0234,-1
