entry_time,exit_time,direction,entry,exit,result,pnl,capital,spread_on
2026-03-27 20:25:00+00:00,2026-03-27 20:45:00+00:00,short,65824.49,65945.45,SL,-0.8335,65.8468,True
2026-03-27 21:55:00+00:00,2026-03-27 23:25:00+00:00,short,66034.47,66153.4,SL,-0.8231,65.0238,True
2026-03-28 00:55:00+00:00,2026-03-28 01:35:00+00:00,short,66376.83,66059.12,TP,1.1379,66.1617,True
2026-03-28 05:10:00+00:00,2026-03-28 05:25:00+00:00,short,66191.88,66312.16,SL,-0.827,65.3347,True
2026-03-28 06:50:00+00:00,2026-03-28 07:55:00+00:00,short,66342.2,66508.24,SL,-0.8167,64.518,True
2026-03-28 10:20:00+00:00,2026-03-28 12:10:00+00:00,short,66208.92,66355.3,SL,-0.8065,63.7115,True
2026-03-28 15:20:00+00:00,2026-03-28 15:25:00+00:00,long,67173.09,67009.65,SL,-0.7964,62.9151,True
2026-03-28 18:05:00+00:00,2026-03-28 21:20:00+00:00,long,66866.13,66764.72,SL,-0.7864,62.1287,True
2026-03-28 22:30:00+00:00,2026-03-28 23:05:00+00:00,long,66720.33,66546.51,SL,-0.7766,61.3521,True
2026-03-29 05:55:00+00:00,2026-03-29 06:25:00+00:00,long,66732.31,66616.73,SL,-0.7669,60.5852,True
2026-03-29 07:40:00+00:00,2026-03-29 08:05:00+00:00,short,66573.59,66676.28,SL,-0.7573,59.8278,True
2026-03-29 09:20:00+00:00,2026-03-29 11:10:00+00:00,short,66604.62,66716.05,SL,-0.7478,59.08,True
2026-03-29 15:25:00+00:00,2026-03-29 15:50:00+00:00,short,66354.04,66467.06,SL,-0.7385,58.3415,True
2026-03-29 17:10:00+00:00,2026-03-29 20:20:00+00:00,short,66414.95,66710.8,SL,-0.7293,57.6122,True
2026-03-29 21:35:00+00:00,2026-03-29 22:00:00+00:00,long,66608.11,66344.32,SL,-0.7202,56.8921,True
2026-03-30 02:45:00+00:00,2026-03-30 02:50:00+00:00,long,67222.8,67085.2,SL,-0.7112,56.1809,True
2026-03-30 04:05:00+00:00,2026-03-30 06:15:00+00:00,long,67376.98,67274.96,SL,-0.7023,55.4787,True
2026-03-30 07:45:00+00:00,2026-03-30 08:00:00+00:00,long,67350.93,67708.59,TP,0.9709,56.4495,True
2026-03-30 10:55:00+00:00,2026-03-30 12:05:00+00:00,long,67438.39,67790.03,TP,0.9879,57.4374,True
2026-03-30 13:20:00+00:00,2026-03-30 13:25:00+00:00,long,68039.06,67884.31,SL,-0.718,56.7194,True
2026-03-30 14:55:00+00:00,2026-03-30 15:05:00+00:00,long,67757.82,67562.48,SL,-0.709,56.0104,True
2026-03-30 19:05:00+00:00,2026-03-30 20:00:00+00:00,short,66329.2,66498.67,SL,-0.7001,55.3103,True
