strategy,entry_time,exit_time,direction,entry,exit,result,pnl,capital
S3. Breakout + Momentum,2024-01-03 18:55:00+00:00,2024-01-03 19:05:00+00:00,short,42255.72,42423.62,SL ❌,-0.7465,73.9034
S3. Breakout + Momentum,2024-01-04 00:05:00+00:00,2024-01-04 01:15:00+00:00,long,42884.98,42728.58,SL ❌,-0.739,73.1644
S3. Breakout + Momentum,2024-01-04 01:20:00+00:00,2024-01-04 01:45:00+00:00,short,42631.99,42751.1,SL ❌,-0.7316,72.4327
S3. Breakout + Momentum,2024-01-04 02:45:00+00:00,2024-01-04 04:00:00+00:00,long,43066.92,42977.55,SL ❌,-0.7243,71.7084
S3. Breakout + Momentum,2024-01-04 07:15:00+00:00,2024-01-04 07:25:00+00:00,short,42974.9,43061.96,SL ❌,-0.7171,70.9913
S3. Breakout + Momentum,2024-01-04 10:20:00+00:00,2024-01-04 10:30:00+00:00,short,42776.01,42893.36,SL ❌,-0.7099,70.2814
S3. Breakout + Momentum,2024-01-04 12:15:00+00:00,2024-01-04 12:25:00+00:00,long,43383.78,43171.11,SL ❌,-0.7028,69.5786
S3. Breakout + Momentum,2024-01-04 14:50:00+00:00,2024-01-04 15:10:00+00:00,long,43602.74,43820.8,TP ✅,1.3916,70.9702
S3. Breakout + Momentum,2024-01-04 15:15:00+00:00,2024-01-04 15:20:00+00:00,long,43888.61,43794.65,SL ❌,-0.7097,70.2605
S3. Breakout + Momentum,2024-01-04 15:25:00+00:00,2024-01-04 15:45:00+00:00,long,44154.01,44044.02,SL ❌,-0.7026,69.5579
S3. Breakout + Momentum,2024-01-04 19:15:00+00:00,2024-01-04 19:30:00+00:00,long,44353.97,44235.6,SL ❌,-0.6956,68.8623
S3. Breakout + Momentum,2024-01-04 20:35:00+00:00,2024-01-04 20:40:00+00:00,long,44441.09,44328.9,SL ❌,-0.6886,68.1737
S3. Breakout + Momentum,2024-01-05 01:45:00+00:00,2024-01-05 01:50:00+00:00,short,43173.06,43332.98,SL ❌,-0.6817,67.4919
S3. Breakout + Momentum,2024-01-05 04:20:00+00:00,2024-01-05 04:25:00+00:00,short,43294.12,43383.33,SL ❌,-0.6749,66.817
S3. Breakout + Momentum,2024-01-05 06:50:00+00:00,2024-01-05 07:40:00+00:00,long,43874.01,43782.95,SL ❌,-0.6682,66.1488
S3. Breakout + Momentum,2024-01-05 09:00:00+00:00,2024-01-05 09:20:00+00:00,long,44123.55,43963.64,SL ❌,-0.6615,65.4873
S3. Breakout + Momentum,2024-01-05 10:55:00+00:00,2024-01-05 11:00:00+00:00,short,43628.18,43753.99,SL ❌,-0.6549,64.8325
S3. Breakout + Momentum,2024-01-05 16:45:00+00:00,2024-01-05 16:50:00+00:00,short,43262.56,43355.74,SL ❌,-0.6483,64.1841
S3. Breakout + Momentum,2024-01-05 17:05:00+00:00,2024-01-05 17:10:00+00:00,short,43131.1,43319.81,SL ❌,-0.6418,63.5423
S3. Breakout + Momentum,2024-01-05 19:45:00+00:00,2024-01-05 19:50:00+00:00,long,43710.91,43568.2,SL ❌,-0.6354,62.9069
S3. Breakout + Momentum,2024-01-05 20:50:00+00:00,2024-01-05 20:55:00+00:00,long,44110.0,43955.07,SL ❌,-0.6291,62.2778
S3. Breakout + Momentum,2024-01-05 23:00:00+00:00,2024-01-05 23:45:00+00:00,long,44136.0,44033.9,SL ❌,-0.6228,61.655
S3. Breakout + Momentum,2024-01-06 05:15:00+00:00,2024-01-06 05:50:00+00:00,short,43782.46,43607.18,TP ✅,1.2331,62.8881
S3. Breakout + Momentum,2024-01-06 06:55:00+00:00,2024-01-06 07:15:00+00:00,short,43454.7,43556.21,SL ❌,-0.6289,62.2592
S3. Breakout + Momentum,2024-01-06 10:05:00+00:00,2024-01-06 10:25:00+00:00,short,43609.3,43700.0,SL ❌,-0.6226,61.6367
S3. Breakout + Momentum,2024-01-06 12:50:00+00:00,2024-01-06 13:20:00+00:00,short,43588.86,43685.96,SL ❌,-0.6164,61.0203
S3. Breakout + Momentum,2024-01-06 14:00:00+00:00,2024-01-06 17:45:00+00:00,long,43789.95,43972.01,TP ✅,1.2204,62.2407
S3. Breakout + Momentum,2024-01-06 18:40:00+00:00,2024-01-06 19:15:00+00:00,long,44045.55,43860.03,SL ❌,-0.6224,61.6183
S3. Breakout + Momentum,2024-01-06 20:10:00+00:00,2024-01-06 20:20:00+00:00,short,43776.69,43866.11,SL ❌,-0.6162,61.0021
S3. Breakout + Momentum,2024-01-07 00:15:00+00:00,2024-01-07 00:45:00+00:00,long,43994.05,44235.15,TP ✅,1.22,62.2221
S3. Breakout + Momentum,2024-01-07 02:35:00+00:00,2024-01-07 02:40:00+00:00,short,43848.2,43939.11,SL ❌,-0.6222,61.5999
S3. Breakout + Momentum,2024-01-07 08:00:00+00:00,2024-01-07 08:55:00+00:00,long,44121.07,44017.99,SL ❌,-0.616,60.9839
S3. Breakout + Momentum,2024-01-07 09:50:00+00:00,2024-01-07 11:00:00+00:00,short,43892.0,43983.38,SL ❌,-0.6098,60.3741
S3. Breakout + Momentum,2024-01-07 13:10:00+00:00,2024-01-07 13:55:00+00:00,long,44230.01,44409.31,TP ✅,1.2075,61.5816
S3. Breakout + Momentum,2024-01-07 15:25:00+00:00,2024-01-07 15:45:00+00:00,short,44174.46,43982.54,TP ✅,1.2316,62.8132
S3. Breakout + Momentum,2024-01-07 16:50:00+00:00,2024-01-07 17:10:00+00:00,short,43880.29,44030.09,SL ❌,-0.6281,62.1851
