entry_time,exit_time,direction,entry,exit,result,pnl,capital,risk_pct
2025-11-10 18:00:00+00:00,2025-11-10 18:08:00+00:00,long,106000.0,105786.96,SL,-3.1412,206.2728,1.5
2025-11-10 18:21:00+00:00,2025-11-10 18:55:00+00:00,long,105880.86,105627.73,SL,-3.0941,203.1787,1.5
2025-11-10 19:06:00+00:00,2025-11-10 20:13:00+00:00,long,105673.13,106188.03,TP,6.0954,209.2741,1.5
2025-11-10 20:36:00+00:00,2025-11-10 20:50:00+00:00,long,106229.75,106012.16,SL,-3.1391,206.135,1.5
2025-11-10 21:41:00+00:00,2025-11-10 22:06:00+00:00,short,105503.58,105810.94,SL,-3.092,203.0429,1.5
2025-11-10 22:11:00+00:00,2025-11-10 22:37:00+00:00,short,105508.32,105764.62,SL,-3.0456,199.9973,1.5
2025-11-10 22:43:00+00:00,2025-11-10 22:48:00+00:00,short,105672.86,105901.68,SL,-2.0,197.9973,1.0
2025-11-10 23:11:00+00:00,2025-11-10 23:53:00+00:00,long,106176.23,105914.58,SL,-1.98,196.0173,1.0
2025-11-11 00:05:00+00:00,2025-11-11 00:11:00+00:00,long,106074.41,105797.21,SL,-1.9602,194.0572,1.0
2025-11-11 00:47:00+00:00,2025-11-11 00:50:00+00:00,short,105578.0,105825.87,SL,-1.9406,192.1166,1.0
2025-11-11 01:14:00+00:00,2025-11-11 01:18:00+00:00,long,106249.98,106917.89,TP,3.8423,195.9589,1.0
2025-11-11 01:47:00+00:00,2025-11-11 01:54:00+00:00,long,106636.96,106388.09,SL,-1.9596,193.9993,1.0
2025-11-11 03:05:00+00:00,2025-11-11 03:42:00+00:00,long,106754.03,106474.04,SL,-1.94,192.0593,1.0
2025-11-11 03:50:00+00:00,2025-11-11 04:11:00+00:00,long,106518.0,106218.04,SL,-1.9206,190.1388,1.0
2025-11-11 04:25:00+00:00,2025-11-11 05:03:00+00:00,short,106064.0,105615.49,TP,3.8028,193.9415,1.0
2025-11-11 05:04:00+00:00,2025-11-11 06:07:00+00:00,short,105553.17,105044.13,TP,3.8788,197.8204,1.0
2025-11-11 06:29:00+00:00,2025-11-11 06:58:00+00:00,short,105042.68,105269.17,SL,-1.9782,195.8422,1.0
2025-11-11 07:08:00+00:00,2025-11-11 09:08:00+00:00,short,105110.81,105331.47,SL,-1.9584,193.8837,1.0
2025-11-11 09:22:00+00:00,2025-11-11 09:44:00+00:00,long,105330.29,105082.4,SL,-1.9388,191.9449,1.0
2025-11-11 10:21:00+00:00,2025-11-11 11:04:00+00:00,short,105084.06,105369.68,SL,-1.9194,190.0254,1.0
2025-11-11 11:35:00+00:00,2025-11-11 11:50:00+00:00,long,105392.37,105155.46,SL,-1.9003,188.1252,1.0
2025-11-11 12:02:00+00:00,2025-11-11 12:16:00+00:00,long,105302.56,105079.96,SL,-1.8813,186.2439,1.0
2025-11-11 12:36:00+00:00,2025-11-11 12:49:00+00:00,short,104863.29,104426.12,TP,3.7249,189.9688,1.0
2025-11-11 13:17:00+00:00,2025-11-11 14:48:00+00:00,short,104484.37,104031.64,TP,3.7994,193.7682,1.0
2025-11-11 15:06:00+00:00,2025-11-11 15:08:00+00:00,short,104055.14,104265.61,SL,-1.9377,191.8305,1.0
2025-11-11 15:26:00+00:00,2025-11-11 15:32:00+00:00,short,104032.24,103575.78,TP,3.8366,195.6671,1.0
2025-11-11 15:47:00+00:00,2025-11-11 15:54:00+00:00,short,103250.07,103475.16,SL,-1.9567,193.7105,1.0
